benchmark,type,key,value
2mm,futil,latency,15571
3mm,futil,latency,17487
atax,futil,latency,2255
bicg,futil,latency,1083
cholesky,futil,latency,2514
doitgen,futil,latency,49479
durbin,futil,latency,905
gemm,futil,latency,9265
gemver,futil,latency,3719
gesummv,futil,latency,2209
gramschmidt,futil,latency,18613
lu,futil,latency,3191
ludcmp,futil,latency,4203
mvt,futil,latency,1861
symm,futil,latency,9721
syr2k,futil,latency,17183
syrk,futil,latency,12075
trisolv,futil,latency,460
trmm,futil,latency,5255
