benchmark,type,key,value
gemm,futil-sc-sh,lut,527
gemm,futil-sc-sh,dsp,3
gemm,futil-sc-sh,registers,51
gemm,futil-sc-sh,muxes,56
gemm,futil-sc-sh,clb_registers,352
gemm,futil-sc-sh,carry8,6
gemm,futil-sc-sh,f7_muxes,0
gemm,futil-sc-sh,f8_muxes,0
gemm,futil-sc-sh,f9_muxes,0
gemm,futil-sc-sh,clb,885
gemm,futil-sc-sh,meet_timing,1
gemm,futil-sc-sh,worst_slack,3.124
gemm,futil-sc-sh,period,7.0
gemm,futil-sc-sh,frequency,142.857
gemm,futil-sc-sh,uram,-1
gemm,futil-sc-sh,cell_lut1,4
gemm,futil-sc-sh,cell_lut2,115
gemm,futil-sc-sh,cell_lut3,72
gemm,futil-sc-sh,cell_lut4,84
gemm,futil-sc-sh,cell_lut5,98
gemm,futil-sc-sh,cell_lut6,169
gemm,futil-sc-sh,cell_fdre,352
trmm,futil-sc-sh,lut,286
trmm,futil-sc-sh,dsp,3
trmm,futil-sc-sh,registers,31
trmm,futil-sc-sh,muxes,26
trmm,futil-sc-sh,clb_registers,181
trmm,futil-sc-sh,carry8,8
trmm,futil-sc-sh,f7_muxes,0
trmm,futil-sc-sh,f8_muxes,0
trmm,futil-sc-sh,f9_muxes,0
trmm,futil-sc-sh,clb,475
trmm,futil-sc-sh,meet_timing,1
trmm,futil-sc-sh,worst_slack,4.178
trmm,futil-sc-sh,period,7.0
trmm,futil-sc-sh,frequency,142.857
trmm,futil-sc-sh,uram,-1
trmm,futil-sc-sh,cell_lut1,-1
trmm,futil-sc-sh,cell_lut2,72
trmm,futil-sc-sh,cell_lut3,46
trmm,futil-sc-sh,cell_lut4,147
trmm,futil-sc-sh,cell_lut5,24
trmm,futil-sc-sh,cell_lut6,67
trmm,futil-sc-sh,cell_fdre,181
3mm,futil-sc-sh,lut,603
3mm,futil-sc-sh,dsp,6
3mm,futil-sc-sh,registers,60
3mm,futil-sc-sh,muxes,76
3mm,futil-sc-sh,clb_registers,333
3mm,futil-sc-sh,carry8,12
3mm,futil-sc-sh,f7_muxes,0
3mm,futil-sc-sh,f8_muxes,0
3mm,futil-sc-sh,f9_muxes,0
3mm,futil-sc-sh,clb,948
3mm,futil-sc-sh,meet_timing,1
3mm,futil-sc-sh,worst_slack,3.18
3mm,futil-sc-sh,period,7.0
3mm,futil-sc-sh,frequency,142.857
3mm,futil-sc-sh,uram,-1
