benchmark,type,key,value
3mm,futil-sc,lut,606
3mm,futil-sc,dsp,9
3mm,futil-sc,registers,85
3mm,futil-sc,muxes,49
3mm,futil-sc,clb_registers,644
3mm,futil-sc,carry8,18
3mm,futil-sc,f7_muxes,0
3mm,futil-sc,f8_muxes,0
3mm,futil-sc,f9_muxes,0
3mm,futil-sc,clb,1268
3mm,futil-sc,meet_timing,1
3mm,futil-sc,worst_slack,3.692
3mm,futil-sc,period,7.0
3mm,futil-sc,frequency,142.857
3mm,futil-sc,uram,-1
3mm,futil-sc,cell_lut1,2
3mm,futil-sc,cell_lut2,237
3mm,futil-sc,cell_lut3,35
3mm,futil-sc,cell_lut4,38
3mm,futil-sc,cell_lut5,134
3mm,futil-sc,cell_lut6,258
3mm,futil-sc,cell_fdre,644
atax,futil-sc,lut,459
atax,futil-sc,dsp,6
atax,futil-sc,registers,76
atax,futil-sc,muxes,43
atax,futil-sc,clb_registers,652
atax,futil-sc,carry8,12
atax,futil-sc,f7_muxes,0
atax,futil-sc,f8_muxes,0
atax,futil-sc,f9_muxes,0
atax,futil-sc,clb,1123
atax,futil-sc,meet_timing,1
atax,futil-sc,worst_slack,4.033
atax,futil-sc,period,7.0
atax,futil-sc,frequency,142.857
atax,futil-sc,uram,-1
atax,futil-sc,cell_lut1,4
atax,futil-sc,cell_lut2,182
atax,futil-sc,cell_lut3,47
atax,futil-sc,cell_lut4,38
atax,futil-sc,cell_lut5,54
atax,futil-sc,cell_lut6,165
atax,futil-sc,cell_fdre,652
bicg,futil-sc,lut,342
bicg,futil-sc,dsp,6
bicg,futil-sc,registers,40
bicg,futil-sc,muxes,21
bicg,futil-sc,clb_registers,299
bicg,futil-sc,carry8,12
bicg,futil-sc,f7_muxes,0
bicg,futil-sc,f8_muxes,0
bicg,futil-sc,f9_muxes,0
bicg,futil-sc,clb,653
bicg,futil-sc,meet_timing,1
bicg,futil-sc,worst_slack,3.333
bicg,futil-sc,period,7.0
bicg,futil-sc,frequency,142.857
bicg,futil-sc,uram,-1
bicg,futil-sc,cell_lut1,4
bicg,futil-sc,cell_lut2,103
bicg,futil-sc,cell_lut3,12
bicg,futil-sc,cell_lut4,16
bicg,futil-sc,cell_lut5,29
bicg,futil-sc,cell_lut6,206
bicg,futil-sc,cell_fdre,299
cholesky,futil-sc,lut,636
cholesky,futil-sc,dsp,6
cholesky,futil-sc,registers,75
cholesky,futil-sc,muxes,42
cholesky,futil-sc,clb_registers,786
cholesky,futil-sc,carry8,27
cholesky,futil-sc,f7_muxes,0
cholesky,futil-sc,f8_muxes,0
cholesky,futil-sc,f9_muxes,0
cholesky,futil-sc,clb,1449
cholesky,futil-sc,meet_timing,1
cholesky,futil-sc,worst_slack,4.157
cholesky,futil-sc,period,7.0
cholesky,futil-sc,frequency,142.857
cholesky,futil-sc,uram,-1
cholesky,futil-sc,cell_lut1,7
cholesky,futil-sc,cell_lut2,252
cholesky,futil-sc,cell_lut3,117
cholesky,futil-sc,cell_lut4,137
cholesky,futil-sc,cell_lut5,79
cholesky,futil-sc,cell_lut6,199
cholesky,futil-sc,cell_fdre,785
doitgen,futil-sc,lut,217
doitgen,futil-sc,dsp,3
doitgen,futil-sc,registers,41
doitgen,futil-sc,muxes,25
doitgen,futil-sc,clb_registers,281
doitgen,futil-sc,carry8,8
doitgen,futil-sc,f7_muxes,0
doitgen,futil-sc,f8_muxes,0
doitgen,futil-sc,f9_muxes,0
doitgen,futil-sc,clb,506
doitgen,futil-sc,meet_timing,1
doitgen,futil-sc,worst_slack,3.459
doitgen,futil-sc,period,7.0
doitgen,futil-sc,frequency,142.857
doitgen,futil-sc,uram,-1
doitgen,futil-sc,cell_lut1,6
doitgen,futil-sc,cell_lut2,159
doitgen,futil-sc,cell_lut3,22
doitgen,futil-sc,cell_lut4,26
doitgen,futil-sc,cell_lut5,31
doitgen,futil-sc,cell_lut6,59
doitgen,futil-sc,cell_fdre,281
durbin,futil-sc,lut,880
durbin,futil-sc,dsp,12
durbin,futil-sc,registers,86
durbin,futil-sc,muxes,44
durbin,futil-sc,clb_registers,787
durbin,futil-sc,carry8,42
durbin,futil-sc,f7_muxes,0
durbin,futil-sc,f8_muxes,0
durbin,futil-sc,f9_muxes,0
durbin,futil-sc,clb,1709
durbin,futil-sc,meet_timing,1
durbin,futil-sc,worst_slack,4.068
durbin,futil-sc,period,7.0
durbin,futil-sc,frequency,142.857
durbin,futil-sc,uram,-1
durbin,futil-sc,cell_lut1,97
durbin,futil-sc,cell_lut2,312
durbin,futil-sc,cell_lut3,77
durbin,futil-sc,cell_lut4,139
durbin,futil-sc,cell_lut5,61
durbin,futil-sc,cell_lut6,345
durbin,futil-sc,cell_fdre,786
gemm,futil-sc,lut,555
gemm,futil-sc,dsp,9
gemm,futil-sc,registers,85
gemm,futil-sc,muxes,49
gemm,futil-sc,clb_registers,682
gemm,futil-sc,carry8,10
gemm,futil-sc,f7_muxes,0
gemm,futil-sc,f8_muxes,0
gemm,futil-sc,f9_muxes,0
gemm,futil-sc,clb,1247
gemm,futil-sc,meet_timing,1
gemm,futil-sc,worst_slack,3.556
gemm,futil-sc,period,7.0
gemm,futil-sc,frequency,142.857
gemm,futil-sc,uram,-1
gemm,futil-sc,cell_lut1,10
gemm,futil-sc,cell_lut2,100
gemm,futil-sc,cell_lut3,42
gemm,futil-sc,cell_lut4,49
gemm,futil-sc,cell_lut5,153
gemm,futil-sc,cell_lut6,188
gemm,futil-sc,cell_fdre,682
gemver,futil-sc,lut,1138
gemver,futil-sc,dsp,18
gemver,futil-sc,registers,188
gemver,futil-sc,muxes,85
gemver,futil-sc,clb_registers,1856
gemver,futil-sc,carry8,32
gemver,futil-sc,f7_muxes,0
gemver,futil-sc,f8_muxes,0
gemver,futil-sc,f9_muxes,0
gemver,futil-sc,clb,3026
gemver,futil-sc,meet_timing,1
gemver,futil-sc,worst_slack,3.346
gemver,futil-sc,period,7.0
gemver,futil-sc,frequency,142.857
gemver,futil-sc,uram,-1
gemver,futil-sc,cell_lut1,24
gemver,futil-sc,cell_lut2,288
gemver,futil-sc,cell_lut3,150
gemver,futil-sc,cell_lut4,51
gemver,futil-sc,cell_lut5,171
gemver,futil-sc,cell_lut6,467
gemver,futil-sc,cell_fdre,1856
gesummv,futil-sc,lut,754
gesummv,futil-sc,dsp,12
gesummv,futil-sc,registers,110
gesummv,futil-sc,muxes,53
gesummv,futil-sc,clb_registers,1125
gesummv,futil-sc,carry8,20
gesummv,futil-sc,f7_muxes,0
gesummv,futil-sc,f8_muxes,0
gesummv,futil-sc,f9_muxes,0
gesummv,futil-sc,clb,1899
gesummv,futil-sc,meet_timing,1
gesummv,futil-sc,worst_slack,3.788
gesummv,futil-sc,period,7.0
gesummv,futil-sc,frequency,142.857
gesummv,futil-sc,uram,-1
gesummv,futil-sc,cell_lut1,7
gesummv,futil-sc,cell_lut2,171
gesummv,futil-sc,cell_lut3,56
gesummv,futil-sc,cell_lut4,77
gesummv,futil-sc,cell_lut5,74
gesummv,futil-sc,cell_lut6,340
gesummv,futil-sc,cell_fdre,1125
gramschmidt,futil-sc,lut,1206
gramschmidt,futil-sc,dsp,9
gramschmidt,futil-sc,registers,132
gramschmidt,futil-sc,muxes,85
gramschmidt,futil-sc,clb_registers,1286
gramschmidt,futil-sc,carry8,31
gramschmidt,futil-sc,f7_muxes,32
gramschmidt,futil-sc,f8_muxes,0
gramschmidt,futil-sc,f9_muxes,0
gramschmidt,futil-sc,clb,2555
gramschmidt,futil-sc,meet_timing,1
gramschmidt,futil-sc,worst_slack,2.864
gramschmidt,futil-sc,period,7.0
gramschmidt,futil-sc,frequency,142.857
