benchmark,type,key,value
3mm,futil-sh-sc,lut,514
3mm,futil-sh-sc,dsp,3
3mm,futil-sh-sc,registers,37
3mm,futil-sh-sc,muxes,44
3mm,futil-sh-sc,clb_registers,171
3mm,futil-sh-sc,carry8,6
3mm,futil-sh-sc,f7_muxes,0
3mm,futil-sh-sc,f8_muxes,0
3mm,futil-sh-sc,f9_muxes,0
3mm,futil-sh-sc,clb,691
3mm,futil-sh-sc,meet_timing,1
3mm,futil-sh-sc,worst_slack,3.224
3mm,futil-sh-sc,period,7.0
3mm,futil-sh-sc,frequency,142.857
3mm,futil-sh-sc,uram,-1
3mm,futil-sh-sc,cell_lut1,16
3mm,futil-sh-sc,cell_lut2,156
3mm,futil-sh-sc,cell_lut3,77
3mm,futil-sh-sc,cell_lut4,46
3mm,futil-sh-sc,cell_lut5,97
3mm,futil-sh-sc,cell_lut6,264
3mm,futil-sh-sc,cell_fdre,171
atax,futil-sh-sc,lut,521
atax,futil-sh-sc,dsp,3
atax,futil-sh-sc,registers,39
atax,futil-sh-sc,muxes,35
atax,futil-sh-sc,clb_registers,263
atax,futil-sh-sc,carry8,6
atax,futil-sh-sc,f7_muxes,0
atax,futil-sh-sc,f8_muxes,0
atax,futil-sh-sc,f9_muxes,0
atax,futil-sh-sc,clb,790
atax,futil-sh-sc,meet_timing,1
atax,futil-sh-sc,worst_slack,3.556
atax,futil-sh-sc,period,7.0
atax,futil-sh-sc,frequency,142.857
atax,futil-sh-sc,uram,-1
atax,futil-sh-sc,cell_lut1,4
atax,futil-sh-sc,cell_lut2,99
atax,futil-sh-sc,cell_lut3,91
atax,futil-sh-sc,cell_lut4,75
atax,futil-sh-sc,cell_lut5,133
atax,futil-sh-sc,cell_lut6,191
atax,futil-sh-sc,cell_fdre,263
bicg,futil-sh-sc,lut,251
bicg,futil-sh-sc,dsp,3
bicg,futil-sh-sc,registers,29
bicg,futil-sh-sc,muxes,23
bicg,futil-sh-sc,clb_registers,209
bicg,futil-sh-sc,carry8,8
bicg,futil-sh-sc,f7_muxes,0
bicg,futil-sh-sc,f8_muxes,0
bicg,futil-sh-sc,f9_muxes,0
bicg,futil-sh-sc,clb,468
bicg,futil-sh-sc,meet_timing,1
