benchmark,type,key,value
gemm,futil-sh-sc,latency,8635
trmm,futil-sh-sc,latency,4964
3mm,futil-sh-sc,latency,15795
mvt,futil-sh-sc,latency,1636
lu,futil-sh-sc,latency,3560
doitgen,futil-sh-sc,latency,44241
syrk,futil-sh-sc,latency,11911
ludcmp,futil-sh-sc,latency,4408
durbin,futil-sh-sc,latency,943
symm,futil-sh-sc,latency,9140
bicg,futil-sh-sc,latency,802
trisolv,futil-sh-sc,latency,413
gemver,futil-sh-sc,latency,3254
2mm,futil-sh-sc,latency,14532
syr2k,futil-sh-sc,latency,16039
atax,futil-sh-sc,latency,1771
cholesky,futil-sh-sc,latency,2751
gesummv,futil-sh-sc,latency,1963
gramschmidt,futil-sh-sc,latency,16309
